freq,amp,datetime,visitNum,treatment_rewarded,BeeNumCol,accFile,beeID,hive,treatment,totalRewards,meanFreqRewarded,totalBuzzesNotRewarded,meanFreqUnrewarded,IT_mm,amp_acc
320.0,1.0056100000000001, 2017_05_30__09_53_36_378,25, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_36_378_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,98.88003933136677
320.0,0.42022, 2017_05_30__09_53_49_137,26, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_49_137_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,41.319567354965585
300.0,0.7327100000000001, 2017_05_30__09_53_50_609,27, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_50_609_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,72.04621435594888
270.0,0.26025, 2017_05_30__09_53_51_092,28, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_51_092_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,25.589970501474927
300.0,0.40757, 2017_05_30__09_54_08_146,29, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_54_08_146_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,40.07571288102262
290.0,0.49745, 2017_05_30__09_54_08_840,30, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_54_08_840_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,48.91347099311701
250.0,0.31509000000000004, 2017_05_30__09_54_10_715,31, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_54_10_715_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,30.982300884955755
310.0,0.30827, 2017_05_30__09_54_11_699,32, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_54_11_699_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,30.311701081612583
340.0,0.46208, 2017_05_30__09_54_14_435,33, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_54_14_435_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,45.43559488692232
300.0,0.5432100000000001, 2017_05_30__09_54_14_961,34, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_54_14_961_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,53.412979351032455
330.0,0.63212, 2017_05_30__09_55_02_961,35, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_02_961_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,62.15535889872173
310.0,0.8995, 2017_05_30__09_55_03_544,36, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_03_544_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,88.44641101278269
310.0,0.7761899999999999, 2017_05_30__09_55_05_267,37, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_05_267_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,76.32153392330383
290.0,0.70286, 2017_05_30__09_55_10_522,38, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_10_522_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,69.11111111111111
290.0,0.6292, 2017_05_30__09_55_11_525,39, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_11_525_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,61.86823992133726
300.0,0.48933999999999994, 2017_05_30__09_55_12_242,40, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_12_242_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,48.116027531956725
260.0,0.6262800000000001, 2017_05_30__09_55_12_772,41, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_12_772_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,61.58112094395281
320.0,1.1224299999999998, 2017_05_30__09_55_13_281,42, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_13_281_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,110.36676499508356
290.0,0.57858, 2017_05_30__09_55_14_242,43, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_14_242_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,56.89085545722713
330.0,0.87679, 2017_05_30__09_55_14_805,44, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_14_805_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,86.21337266470009
330.0,0.36798000000000003, 2017_05_30__09_55_33_328,45, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_33_328_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,36.18289085545723
330.0,0.25051, 2017_05_30__09_55_33_982,46, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_33_982_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,24.6322517207473
340.0,0.5555399999999999, 2017_05_30__09_55_37_241,47, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_37_241_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,54.62536873156342
300.0,0.9326, 2017_05_30__09_55_38_221,48, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_38_221_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,91.70108161258604
320.0,0.42963, 2017_05_30__09_55_39_706,49, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_39_706_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,42.24483775811209
300.0,0.7297899999999999, 2017_05_30__09_55_46_972,50, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_46_972_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,71.7590953785644
310.0,0.95596, 2017_05_30__09_55_49_223,51, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_55_49_223_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,93.99803343166175
230.0,0.27516999999999997, 2017_05_30__09_56_00_756,52, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_56_00_756_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,27.05703048180924
280.0,0.56138, 2017_05_30__09_56_01_509,53, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_56_01_509_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,55.19960668633235
320.0,0.28815, 2017_05_30__09_56_21_199,54, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_56_21_199_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,28.333333333333336
350.0,0.59934, 2017_05_30__09_56_28_691,55, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_56_28_691_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,58.932153392330385
310.0,0.6038899999999999, 2017_05_30__09_56_29_819,56, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_56_29_819_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,59.37954768928219
230.0,0.06977, 2017_05_30__09_56_41_022,57, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_56_41_022_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,6.860373647984267
340.0,0.49972, 2017_05_30__09_56_42_049,58, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_56_42_049_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,49.136676499508354
330.0,0.46921999999999997, 2017_05_30__09_56_58_695,59, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_56_58_695_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,46.13765978367748
330.0,0.61849, 2017_05_30__09_57_01_675,60, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_01_675_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,60.81514257620452
320.0,1.0017200000000002, 2017_05_30__09_57_15_730,61, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_15_730_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,98.4975417895772
230.0,0.056139999999999995, 2017_05_30__09_57_17_134,62, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_17_134_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,5.52015732546706
